Id,Name,Ratings,Price,Original_Price,Discount_Element,Annual_Power_Usage,Room_Size,Warranty
707,IFB 1.5 Ton Split Dual Inverter AC with Wi-fi Connect  - Ivory - Matte Finish,N/A,"39,500","60,500",34%, 111 - 150 sqft,,
708,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...",4.1,"51,990","81,990",36%, 685.26 kWh, 111 - 150 ,1 Year Warranty on Product
709,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,4.3,"47,800","76,090",37%, 754.05 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
710,Daikin 2.02 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,3.5,"62,990","86,800",27%, 1372.85 kWh,,
711,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"38,600","52,500",26%, 1097.54 kWh, 111 - 150 ,1 Year Condenser Coil Warranty
712,Lloyd 1.5 Ton 4 Star Split Inverter AC  - White,4.5,"40,200","59,900",32%, 972.33 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
713,TCL 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"37,990","60,991",37%, 1389.92 kWh, 151 - 200 ,1 Year Warranty on Product
714,Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"42,900","69,990",38%, 780.56 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
715,Lloyd 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,3,"36,990","50,990",27%, 1835 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
716,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 3 Star Split Inverter wi...,4.1,"58,500","70,500",17%, 1234.16 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product
717,BLACK+DECKER 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,999","66,999",31%, 706.85 W, 111 - 150 ,2 Years Comprehensive Warranty on Peoduct
718,Hitachi 1.5 Ton 3 Star Split AC  - White,N/A,"42,500","54,500",22%, 0 kWh, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty On Compressor
719,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,4.8,"47,990","58,400",17%, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
720,Panasonic 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,N/A,"48,100","66,900",28%, 885.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
721,Daikin 1 Ton 4 Star Split Inverter AC  - White,N/A,"65,000",N/A,N/A, 680.4 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
722,Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"42,900","69,990",38%, 780.56 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
723,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 3 Star Split Inverter wi...,4.1,"58,500","70,500",17%, 1234.16 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product
724,BLACK+DECKER 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,999","66,999",31%, 706.85 W, 111 - 150 ,2 Years Comprehensive Warranty on Peoduct
725,Hitachi 1.5 Ton 3 Star Split AC  - White,N/A,"42,500","54,500",22%, 0 kWh, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty On Compressor
726,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,4.8,"47,990","58,400",17%, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
727,Godrej 1.5 Ton 3 Star Split Inverter Convertible 5-in-1 Cooling with Anti-Virus Protection AC  - White...,3.9,"37,500","43,900",14%, 1046.29 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
728,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"45,309","60,990",25%, 863.15 kWh, 111 - 150 ,1 year on product and 10 year on compressor
729,SAMSUNG 2023 Model 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,990","82,990",36%, 1145.22 kWh, 151 - 200 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
730,"Haier 1.5 Ton 3 Star Split Inverter with Turbo Mode, Micro Anti-Bacterial Filter, 54 High Ambient Perf...",N/A,"36,250","61,000",40%, 1045.04 W, 111 - 150 ,1 Year Warranty on Product and 6 Years Warranty on Compressor
731,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,3.4,"44,890","69,990",35%, 921 kWh, 111 - 150 ,1 Year on Product
732,Lloyd 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,899","80,990",34%, 1301.79 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
733,Hitachi 1.5 Ton 3 Star Split AC  - White,2.7,"41,370","56,400",26%, 1040.2 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
734,Blue Star 2 Ton 3 Star Split Inverter AC  - Silver,N/A,"61,000","80,000",23%, 1239.63 W, 151 - 200 ,1 Year Warranty on Product
735,Lloyd 1 Ton 2 Star Split Inverter AC  - White,N/A,"28,990","46,990",38%, 735.4 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
736,Daikin 1 Ton 3 Star Split Inverter AC  - White,3.8,"33,949","48,200",29%, 68.4 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
737,CARRIER 6-in-1 Flexicool 2023 Model 1.5 Ton 5 Star Split Inverter with Anti-Viral Guard & Smart Energy...,4.1,"81,890",N/A,N/A, 799.71 kWh, 111 - 150 ,1 Year Warranty on Product
738,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,4.2,"53,591","73,990",27%, 945.28 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
739,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"51,811","71,200",27%, 756.78 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
740,CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,3.9,"55,690",N/A,N/A, 526.03 kWh,90,1 Year Warranty on Product
741,iMEE 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"39,999","79,999",50%, 1360 kWh, 111 - 150 ,1 Year for Indoor Unit and 5 Years for Outdoor Unit
742,TCL 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"37,990","60,991",37%, 1389.92 kWh, 151 - 200 ,1 Year Warranty on Product
743,iMEE 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"35,024","79,999",56%, 1835 kWh, 111 - 150 ,1 Year for Indoor Unit and 5 Years for Outdoor Unit
744,MOTOROLA 1.5 Ton 3 Star Split Dual Inverter AC  - Silver,4.4,"24,956","46,399",46%, 1101.4 kWh, 111 - 150 ,1 year on product and 10 years on compressor
745,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"41,800","70,500",40%, 1012.16 W, 111 - 150 ,1 Year Warranty on Product
746,Daikin 2 Ton 3 Star Split Inverter AC  - White,N/A,"73,000","87,500",16%, 1376.59 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years on Compresser
747,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,400","75,990",40%, 794.34 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
748,CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.4,"47,800","62,900",24%, 1800 kWh, 111 - 150 ,1 Year Warranty on Product
749,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.1,"51,600","70,500",26%, 818.81 kWh, 111 - 150 ,1 Year Warranty on Product
750,Panasonic 1.5 Ton 4 Star Split AC with Wi-fi Connect  - White,3.6,"38,890","55,345",29%, 111 - 150 sqft,,
751,Acer 2 Ton 3 Star Split Inverter AC  - White,N/A,"47,999","61,999",22%, 1209.98 W, 151 - 200 ,1 Year Warranty on Product
752,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"47,999","58,400",17%, 967.4 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
753,Voltas 1 Ton 3 Star Split Inverter AC  - White,4.2,"31,490","56,000",43%, 740.59 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
754,Blue Star 1 Ton 3 Star Split AC  - White,3.8,"44,890","49,990",10%, 727.66 kWh,90,1 Year on Product and 5 Years Warranty on Compressor
755,Gazhal 1 Ton Split Inverter AC  - Off White,N/A,"35,995","44,980",19%, 90 sqft or Below,,
756,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"41,910","50,000",16%, 1002.72 kWh, 111 - 150 ,1 Year Comprehensive Warranty
757,Gazhal 1.5 Ton Split Inverter AC  - Off White,N/A,"35,749","44,480",19%, 111 - 150 sqft,,
758,Gazhal 1 Ton Split Inverter AC  - Off White,N/A,"34,499","41,980",17%, 90 sqft or Below,,
759,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.7,"55,050",N/A,N/A, 669.16 kWh,90,1 Year Warranty on Product
760,Panasonic 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"46,999","59,900",21%, 1000.27 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
761,"Godrej 1.5 Ton 3 Star Split Inverter AC  - White, Gold",4.1,"32,290","47,900",32%, 1046.29 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
762,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,3,"41,300","63,500",34%, 1012.16 W, 111 - 150 ,1 Year Warranty on Product
763,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"45,990","59,000",22%, 731.9 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Daikin
764,Mitsubishi 1.1 Ton Split Inverter AC  - WHTE,N/A,"47,500","56,400",15%, 91 - 110 sqft,,
765,Daikin 1.8 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"72,500","76,600",5%, 1094.44 kWh, 151 - 200 ,1 Year Warranty on Product
766,Mitsubishi 1.6 Ton Split AC  - White,N/A,"65,000","65,900",1%, 151 - 200 sqft,,
767,Panasonic 2023 Model 1 Ton 3 Star Split Inverter AC  - White,N/A,"43,999","52,999",16%, 676.37 kWh,90,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
768,Daikin 2.02 Ton 3 Star Split Inverter AC  - White,4.1,"61,990","86,800",28%, 1372.85 W,,
769,"LG Super Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Hot and Cold Split Inverter 4 Way Swing,...",4,"73,991","79,990",7%, 1015.7 kWh, 111 - 150 ,1 Year Warranty on Product
770,CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split Inverter Dual Filtration with HD and P...,3.9,"57,500","78,500",26%, 1257.12 kWh, 151 - 200 ,1 Year warranty on Product
771,Panasonic 1.5 Ton 3 Star Split AC  - White,N/A,"41,910","42,700",1%, 1122.45 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compresser
772,Panasonic 2 Ton 4 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"55,000","76,900",28%, 2090 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
773,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"43,990","61,400",28%, 589.13 kWh,90,1 Year Comprehensive Warranty
774,Panasonic 2.2 Ton 4 Star Split Inverter AC  - White,2.3,"62,000",N/A,N/A, 731.44 kWh,,
775,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Pastel Blue",4.2,"37,388","45,990",18%, 1049.79 kWh, 111 - 150 ,1 Year comprehensive and 10 years on Compressor
776,LG 1.5 Ton 2 Star Split Dual Inverter AC  - White,3.7,"47,800","47,900",N/A, 1031.35 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
777,"LG AI Convertible 6-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with An...",4.1,"46,990","65,990",28%, 521.2 kWh,90,1 Year Warranty on Product
778,Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"44,999","52,999",15%, 698.49 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
779,Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,5,"36,245","51,960",30%, 686.48 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
780,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"35,990","61,250",41%, 1006.84 W, 111 - 150 ,1 Year Warranty on Product
781,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"65,999","70,000",5%, 783.33 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
782,GREE 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Champagne/White,N/A,"59,595","75,832",21%, 1845 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
783,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"48,999","61,500",20%, 1001.2 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
784,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4,"62,999","65,999",4%, 989.55 kWh, 111 - 150 ,1 year comprehensive+5year on compressor
785,Panasonic 1 Ton 3 Star Split Inverter AC  - White,N/A,"36,245","48,100",24%, 1211.26 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
786,Blue Star 1 Ton 3 Star Split Inverter AC  - White,3,"38,000","52,900",28%, 704.42 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
787,"CARRIER Flexicool Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter Auto Cleanser, Dual Filtrat...",3.9,"47,800","74,090",35%, 841.86 kWh, 111 - 150 ,1 Year warranty on Product
788,"Hitachi 2 Ton 3 Star Split Inverter AC  - White, Gold",4.2,"59,590",N/A,N/A, 0 kWh, 151 - 200 ,1 Year on Product
789,IFB 1.6 Ton 3 Star Split Inverter Expandable AC  - White,4.1,"46,000","51,000",9%, 5650 kWh, 151 - 200 ,1 Year Warranty on Product
790,Panasonic 2.2 Ton 4 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"63,000","84,900",25%, 2250 kWh,,
791,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"75,989","75,990",N/A, 966.34 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
792,Voltas 1 Ton Split Inverter AC  - White,3.3,"54,990",N/A,N/A, 90 sqft or Below,,
793,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,3.4,"42,999","61,300",29%, 930.42 kWh, 111 - 150 ,1 Year Warranty on Product
794,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,4.4,"53,999","65,999",18%, 5800 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd
795,Lloyd 2023 Model 1.2 Ton 3 Star Split Inverter AC  - White,4.1,"33,900","54,990",38%, 854.42 kWh, 91 - 110 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
796,Blue Star 1.5 Ton 3 Star Split AC  - White,3.6,"43,339","52,250",17%, 1127.1 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
797,Hitachi 1 Ton 3 Star Split Inverter AC  - White,3.6,"41,290",N/A,N/A, 0 kWh,90,1 Year on Complete Unit and 5 Years on Compressor
798,Whirlpool 4 in 1 Convertible Cooling 1 Ton 3 Star Split Inverter AC  - White,4.1,"46,000","58,999",22%, 690.49 kWh,90,1 year comprehensive+5year on compressor
799,Hitachi 2 Ton 3 Star Split Inverter AC  - White,3.3,"79,800",N/A,N/A, 1388.08 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
800,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"42,400","77,150",45%, 1845 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
801,"Hitachi 1.5 T 3 Star Split Inverter AC  - White, Gold",4,"59,700",N/A,N/A, 1012.3 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
802,"Hitachi 1.8 Ton 3 Star Split Inverter AC  - White, Gold",3.8,"40,990","69,600",41%, 1236.39 kWh, 151 - 200 ,1 Year Warranty on Complete Product and 10 Years on Compressor
803,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,3.7,"57,900",N/A,N/A, 1098.1 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
804,Gazhal 1.5 Ton Split AC  - Off White,N/A,"33,749","41,980",19%, 111 - 150 sqft,,
805,Godrej 1.5 Ton Split Inverter Expandable AC  - White,N/A,"33,499","45,900",27%, 111 - 150 sqft,,
806,CARRIER 1 Ton 3 Star Split Inverter AC  - White,N/A,"41,890","44,990",6%, 1595 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
807,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - White, Gold",4.4,"60,090",N/A,N/A, 869.21 kWh, 111 - 150 ,1 Year additional comprehensive warranty
808,Midea 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"59,999",N/A,N/A, 1035.17 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
809,Hitachi 1 Ton 3 Star Split Inverter AC  - Gold,3.9,"48,999","49,999",2%, 1230 kWh,90,1 years Comprehensive warranty
810,Panasonic 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,3.3,"62,000","69,000",10%, 1013.01 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years on Compresser
811,"CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Beige, Black",4.1,"61,990","82,990",25%, 871.59 kWh, 111 - 150 ,1 Year Warranty on Product
812,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.1,"31,990","52,990",39%, 624.48 kWh,90,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
813,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"60,990","62,990",3%, 1435 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years on Compressor
814,Midea 1 Ton 3 Star Split AC  - White,4,"52,999",N/A,N/A, 758.62 kWh,90,1 Year Warranty on Product and 10 Years on Compressor
815,Midea 1 Ton 3 Star Split Inverter AC  - White,4.4,"55,999",N/A,N/A, 736.57 kWh,90,1 Year Warranty on Product and 10 Years on Compressor
816,"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,"45,990","47,990",4%, 1049.79 kWh,90,1 Year comprehensive and 10 years on Compressor
817,O General 1 Ton 3 Star Split Inverter AC  - White,N/A,"43,210","44,210",2%, 1410 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
818,CARRIER 1 Ton 3 Star Split Air Filtration with High Density Filter AC  - White,4.3,"52,590",N/A,N/A, 758.62 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
819,Panasonic 1.5 Ton 3 Star Split AC  - White,N/A,"37,079","47,900",22%, 1650 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 5 Years on Compressor
820,Voltas 1 Ton 3 Star Split AC  - White,3.9,"49,490",N/A,N/A, 5000 kWh,90,1 Year on Product and 5 Years on Compressor from Voltas
821,Daikin 1.5 Ton 3 Star Split with PM 2.5 Filter AC with PM 2.5 Filter  - White,4.3,"40,288","43,800",8%, 1425 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor From Daikin
822,"Lloyd Stylus 6 in 1 Convertible, Changeable AC Facia 2024 Model 1.5 Ton 3 Star Split Inverter Anti-Vir...",3.3,"39,500","69,990",43%, 990.77 W, 111 - 150 ,1 Year Comprehensive Warranty on AC
823,Daikin 1 Ton 4 Star Split Inverter AC  - White,4.2,"45,000","45,100",N/A, 1110 kWh,90,1 Year on Product and 5 Years on Compressor from Daikin
824,CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"78,000","79,890",2%, 871.59 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
825,Haier 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"62,990",N/A,N/A, 1089.14 kWh, 111 - 150 ,5 Years Comprehensive Warranty (Including Gas) and 12 Years Compressor Warranty from Haier
826,Whirlpool 4 in 1 Convertible Cooling 1 Ton 5 Star Split Inverter AC  - White,4.1,"56,999","59,999",5%, 2090 kWh,90,1 year comprehensive+10year on compressor
827,SAMSUNG 2024 Model 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"55,990","83,990",33%, 1145.22 kWh, 151 - 200 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
828,Haier 1.5 Ton 3 Star Split Inverter AC  - White,4,"65,990",N/A,N/A, 1089.14 kWh, 111 - 150 ,1 Year Warranty on Product and 12 Years on Compressor
829,Midea 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"68,999",N/A,N/A, 841.86 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
830,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,3.3,"40,958","58,400",29%, 967.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
831,Daikin 1.5 Ton 4 Star Hot and Cold Split Inverter AC  - White,4.2,"44,316","61,300",27%, 881.05 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
832,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,3.3,"52,191","57,990",10%, 967.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
833,ONIDA 1 Ton 5 Star Split Inverter AC  - White,4.2,"52,999","53,990",1%, 578.86 kWh,90,1 Year on Product and 5 Year on Compressor from Onida
834,Daikin 1 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"35,661","50,700",29%, 620.32 kWh,90,1 Year Warranty on Product
835,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,4.2,N/A,N/A,N/A, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
836,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"45,309","54,990",17%, 863.15 kWh, 111 - 150 ,1 Year comprehensive and 10 years on Compressor
837,Lloyd 1.5 Ton 3 Star Split AC  - White,4.1,"52,990",N/A,N/A, 1114.71 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor from LLOYD
838,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter with Wi-fi Connect  - White,4,"71,200",N/A,N/A, 785.67 kWh, 111 - 150 ,1 Year Warranty on Product
839,Daikin 1 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"49,289","52,999",7%, 680.4 kWh,90,1 Year Warranty on Product
840,CARRIER 1.5 Ton 4 Star Split Inverter AC  - White,3.3,"68,490",N/A,N/A, 1595 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
841,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - White, Gold",3.9,"66,600",N/A,N/A, 897.84 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 10 Years on Compressor
842,Haier 1.5 Ton 3 Star Split AC  - White,4.1,"49,402","60,990",18%, 1123.23 kWh, 111 - 150 ,1 Year Warranty on Product and 6 Years on Compressor From Haier
843,LG 2023 Model 1 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,5,"52,999","78,990",32%, 685.26 kWh,90,1 Year Comprehensive Warranty and 10 Years Compressor Warranty
844,O General 1 Ton 3 Star Split Inverter AC  - White,N/A,"42,000","43,160",2%, 530.44 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
845,LG 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"55,799","59,999",7%, 2250 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor From LG
846,Voltas 1 Ton 3 Star Split Inverter AC  - White,4.2,"49,490",N/A,N/A, 740.59 kWh,90,1 Year Warranty on Product and 4 Years Warranty Compressor
847,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"37,175","62,490",40%, 860.67 kWh, 111 - 150 ,1 Year on Product and 5 Year on Compressor from Onida
848,Blue Star 1 Ton 5 Star Split Inverter AC  - White,N/A,"66,999","70,000",4%, 536.27 W,90,1 Year Warranty on Product
849,IFB 1 Ton 3 Star Split Inverter AC  - White,4.2,"40,500",N/A,N/A, 1050.84 kWh,90,1 Year Warranty on Product
850,Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC with Wi-fi Connect  - White,4.2,"63,000",N/A,N/A, 824.08 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Daikin
851,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"61,999","64,999",4%, 2631.91 kWh, 111 - 150 ,1 year comprehensive+10year on compressor
852,Daikin 1.5 Ton 3 Star Split AC  - White,3.7,"53,610","55,600",3%, 1009.44 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 5 Years on Compressor
853,"Haier Frost Self-Clean 2023 Model 1.5 Ton 4 Star Split Inverter Intelli Smart,� Intelli Convertible 7-...",4,"42,091","69,990",39%, 886.36 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor
854,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,N/A,"65,000","65,990",1%, 1380 kWh, 111 - 150 ,1 Year Warranty on Product
855,"Hitachi 1.5 Ton 3 Star Split Inverter AC  - White, Gold",3.9,"57,899","57,900",N/A, 1098.1 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 10 Years on Compressor
856,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,4.2,"57,659","61,999",7%, 966.47 kWh, 111 - 150 ,1 Year Warranty on Product
857,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"40,506","60,990",33%, 1002.76 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
858,O General 2.1 Ton 3 Star Split AC  - White,N/A,"71,000","74,740",5%, 980 kWh,,
859,Lloyd 1.2 Ton 5 Star Split Inverter AC  - White,4.1,"56,500","56,990",N/A, 690.69 kWh, 91 - 110 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
860,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,2.5,"57,659","61,999",7%, 1134.28 kWh, 111 - 150 ,1 Year Warranty on Product
861,Daikin 1.5 Ton 4 Star Split Inverter AC  - White,N/A,"58,400",N/A,N/A, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
862,CARRIER 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,4.2,"64,890","72,990",11%, 859.34 kWh, 111 - 150 ,1 Year Warranty on Product
